"Room type,""Type of menial work"",""Type of work"",""per  pice = 0/by metrs = 1"",""Price"""
"Storage Room,""Construction"",""Wall covering"",""1"",""330"""
"Storage Room,""Construction"",""Ceiling installation"",""1"",""420"""
"Balcony,""Electrics"",""Installation of single socket"",""0"",""500"""
"Balcony,""Electrics"",""Installation of double socket"",""0"",""550"""
"Balcony,""Electrics"",""Installation of triple socket"",""0"",""600"""
"Balcony,""Electrics"",""Installation of quadraple socket"",""0"",""650"""
"Balcony,""Electrics"",""Installation of lights"",""0"",""450"""
"Balcony,""Dismantling"",""Dismantling walls"",""1"",""300"""
"Balcony,""Dismantling"",""Dismantling floor"",""1"",""200"""
"Balcony,""Dismantling"",""Dismantling ceiling"",""1"",""150"""
"Balcony,""Dismantling"",""Preparation for lights replacement"",""0"",""200"""
"Balcony,""Construction"",""Floor installation"",""1"",""1300"""
"Balcony,""Construction"",""Wall covering"",""1"",""330"""
"Balcony,""Construction"",""Ceiling installation"",""1"",""420"""
"Corridor,""Electrics"",""Installation of single socket"",""0"",""500"""
"Corridor,""Electrics"",""Installation of double socket"",""0"",""550"""
"Corridor,""Electrics"",""Installation of triple socket"",""0"",""600"""
"Corridor,""Electrics"",""Installation of quadraple socket"",""0"",""650"""
"Corridor,""Electrics"",""Installation of lights"",""0"",""500"""
"Corridor,""Dismantling"",""Dismantling walls"",""1"",""300"""
"Corridor,""Dismantling"",""Dismantling floor"",""1"",""200"""
"Corridor,""Dismantling"",""Dismantling ceiling"",""1"",""150"""
"Corridor,""Dismantling"",""Preparation for lights replacement"",""0"",""200"""
"Corridor,""Construction"",""Floor installation"",""1"",""1300"""
"Corridor,""Construction"",""Wall covering"",""1"",""330"""
"Corridor,""Construction"",""Ceiling installation"",""1"",""420"""
"Corridor,""Construction"",""Floor heating"",""1"",""550"""
