"Room type,""Parametr"",""Link"",""per  pice = 0/by metrs = 1"",""Price"""
"Living Room,""Floor"",""https://leroymerlin.ru/product/massivnaya-doska-dominika-15-mm-listvennica-rustik-uf-lak-197-m-90323349/"",""1"",""4189.9"""
"Living Room,""Floor"",""https://leroymerlin.ru/product/spc-laminat-s-naturalnym-shponom-dub-madrid-home-expert-tolshchina-5-mm-s-faskoy-2-89348446/"",""1"",""1685.4"""
"Living Room,""Chandelier"",""https://leroymerlin.ru/product/lyustra-podvesnaya-tarde-5070-8-8-lamp-25-m-cvet-chernyy-87460687/"",""0"",""8060"""
"Living Room,""Chandelier"",""https://leroymerlin.ru/product/lyustra-potolochnaya-inspire-amber-4-lampy-12-m-cvet-belyy-85113377/"",""0"",""3380"""
"Living Room,""Chandelier"",""https://leroymerlin.ru/product/svetilnik-nastenno-potolochnyy-svetodiodnyy-inspire-village-12-vt-8-m-neytralnyy-belyy-svet-cvet-belyy-85048578/"",""0"",""544"""
"Living Room,""Chandelier"",""https://leroymerlin.ru/product/spot-povorotnyy-inspire-technic-6-lamp-126-m-cvet-hrom-82251889/"",""0"",""3192"""
"Living Room,""Chandelier"",""https://leroymerlin.ru/product/lyustra-potolochnaya-golfo-5060-6-6-lamp-18-m-cvet-zheltyy-87460834/"",""0"",""6890"""
"Living Room,""Wall lights"",""https://leroymerlin.ru/product/svetilnik-nastennyy-bra-layma-467021902-2-lampy-60-vt-g9-220-88673948/"",""0"",""5828"""
"Living Room,""Wall lights"",""https://leroymerlin.ru/product/bra-eurosvet-sandra-60005-1-18818311/"",""0"",""3320"""
"Living Room,""Wall lights"",""https://leroymerlin.ru/product/nastennyy-svetilnik-svetodiodnyy-inspire-leria-teplyy-belyy-svet-cvet-chernyy-85249846/"",""0"",""2620"""
"Living Room,""Wall lights"",""https://leroymerlin.ru/product/svetilnik-nastennyy-bra-svetodiodnyy-inspire-oneux-800-lm-neytralnyy-belyy-svet-cvet-chernyy-84840914/"",""0"",""2620"""
"Living Room,""Wall lights"",""https://leroymerlin.ru/product/nastennyy-svetilnik-bagulnik-ks30073-1w-82603283/"",""0"",""550"""
"Kitchen,""Kitchen island or panel"",""https://leroymerlin.ru/proekt-kuhni/gotovye/pryamye/kuhonnyy-garnitur-izida-12-m/"",""0"",""11336"""
"Kitchen,""Kitchen island or panel"",""https://leroymerlin.ru/proekt-kuhni/gotovye/pryamye/kuhonnyy-garnitur-nero-12-m/"",""0"",""20112"""
"Kitchen,""Kitchen island or panel"",""https://leroymerlin.ru/product/kuhonnyy-garnitur-uglovoy-stendmebel-betony-180x237x60-sm-ldsp-cvet-beton-snezhnyy-91567028/"",""0"",""46130"""
"Kitchen,""Kitchen island or panel"",""https://leroymerlin.ru/product/kuhonnyy-garnitur-stendmebel-katrin-soft-300x237x60-sm-ldsp-cvet-belyy-91601283/"",""0"",""80980"""
"Kitchen,""Kitchen island or panel"",""https://leroymerlin.ru/product/kuhonnyy-garnitur-uglovoy-sostoleshniceylen-38mm-stendmebel-alfa-260x217x60sm-ldsp-cvet-belyy-holstvulkan-91557321/"",""0"",""65660"""
"Kitchen,""Stove"",""https://leroymerlin.ru/product/elektricheskaya-varochnaya-panel-ore-ca30a-297-sm-2-konforki-cvet-chernyy-81953843/"",""0"",""6858"""
